@ HyperIMU -ianovir - 2018
@ Date:Wed Oct 30 12:35:57 GMT+05:00 2019, Sampling Rate:100ms

timestamp,LSM6DSL_Acceleration_Sensor.x,LSM6DSL_Acceleration_Sensor.y,LSM6DSL_Acceleration_Sensor.z,LSM6DSL_Gyroscope_Sensor.x,LSM6DSL_Gyroscope_Sensor.y,LSM6DSL_Gyroscope_Sensor.z,AK09916C_Magnetic_field_Sensor.x,AK09916C_Magnetic_field_Sensor.y,AK09916C_Magnetic_field_Sensor.z,GPS.lat,GPS.long,GPS.alt
1572420960817,-4.644893,3.11974,8.095043,-0.020693671,-0.095682874,0.019495154,20.76,47.76,1.56,0.0,0.0,0.0
1572420960919,-4.640105,3.1556542,7.937021,0.01656911,-0.107289314,-0.026930604,20.699999,47.46,1.74,0.0,0.0,0.0
1572420961019,-4.477294,3.1772027,7.9178667,-0.034132704,-0.0144378,-0.016545897,20.34,47.34,0.71999997,0.0,0.0,0.0
1572420961122,-4.5251794,3.1317115,7.8987126,-0.052458663,-0.04314847,5.5833085E-4,20.279999,47.579998,0.78,0.0,0.0,0.0
1572420961222,-4.0151987,3.040729,6.814106,0.17722666,-0.51962334,-0.30731776,19.92,48.0,0.9,0.0,0.0,0.0
1572420961324,-4.9561486,2.3392065,9.177256,0.051388428,-0.36507446,-0.0990127,19.08,49.92,1.62,0.0,0.0,0.0
1572420961424,-4.625739,2.5618742,8.470944,-0.09705183,0.053979106,-0.0012742649,18.24,49.68,0.0,0.0,0.0,0.0
1572420961526,-4.455745,2.604971,8.099832,-0.05062607,0.044205263,0.020716885,19.32,49.739998,0.65999997,0.0,0.0,0.0
1572420961625,-4.4916596,2.6073654,8.291373,-0.017028479,0.024046712,0.024992941,18.96,50.879997,0.0,0.0,0.0,0.0
1572420961727,-4.3887057,2.6289136,8.145323,0.047112368,-0.021157319,0.0084995795,19.439999,49.86,-0.06,0.0,0.0,0.0
1572420961828,-4.625739,2.5570855,8.18842,-0.004200309,-0.03887241,0.031101594,18.48,49.32,0.06,0.0,0.0,0.0
1572420961930,-4.4485626,2.691165,8.25546,0.03550593,-0.016270395,0.07752735,18.9,50.039997,0.06,0.0,0.0,0.0
1572420962031,-4.312089,2.7989073,8.499676,0.16684197,-0.036428947,0.05064928,18.18,49.68,0.53999996,0.0,0.0,0.0
1572420962131,-4.3432145,3.0239692,8.023215,0.03733853,-0.06941567,0.04942755,18.9,49.079998,-0.17999999,0.0,0.0,0.0
1572420962234,-3.15326,1.2809371,14.676905,-0.12759508,-0.11400884,-0.19552942,17.88,50.64,-1.68,0.0,0.0,0.0
1572420962330,-4.529968,2.7055306,7.965752,-0.0011459832,0.024657575,0.28338894,18.24,49.5,-1.3199999,0.0,0.0,0.0
1572420962432,-3.8715425,3.0167863,7.048745,0.06299487,-0.032152895,-0.10939742,18.9,49.2,-0.53999996,0.0,0.0,0.0
1572420962534,-4.573065,2.6624336,8.609812,-0.077504136,0.017938059,-0.086795405,17.4,49.44,0.17999999,0.0,0.0,0.0
1572420962635,-4.5251794,2.595394,8.332076,-0.14347759,0.058866028,-0.009215513,18.42,49.62,-0.53999996,0.0,0.0,0.0
1572420962736,-4.470111,2.5666625,8.22194,-0.056123856,-0.03459635,0.12089878,18.66,48.96,0.17999999,0.0,0.0,0.0
1572420962840,-4.0295644,2.4589202,8.8324795,-0.23755082,-0.47075415,-0.11000828,18.66,49.8,-1.02,0.0,0.0,0.0
1572420962940,-4.024776,2.4277947,8.387145,-0.41164744,-0.15738027,-0.07579983,17.4,51.0,-2.1,0.0,0.0,0.0
1572420963041,-2.892284,1.1923488,9.268238,-0.26931584,-0.73770225,0.083636,15.96,51.36,-1.92,0.0,0.0,0.0
1572420963141,-2.8252442,1.9369683,9.399923,0.16073331,0.036264013,0.006056118,15.66,51.84,-4.3199997,0.0,0.0,0.0
1572420963241,-2.8635526,1.6568382,8.983319,-0.012752423,0.087576695,0.075694755,15.0,51.66,-3.06,0.0,0.0,0.0
1572420963343,-2.9497466,1.8364087,9.004868,-0.14103411,0.06253122,0.054925337,15.78,51.48,-3.36,0.0,0.0,0.0
1572420963443,-3.1819913,1.5131817,8.803748,-0.024358861,0.19386725,0.03904284,15.78,51.539997,-2.6399999,0.0,0.0,0.0
1572420963545,-3.562681,1.6281068,9.478934,0.018401705,0.112011306,0.15816157,16.38,51.96,-2.46,0.0,0.0,0.0
1572420963645,-3.222694,1.5634614,9.368797,0.032451607,0.07474853,0.053703606,17.279999,52.02,-1.9799999,0.0,0.0,0.0
1572420963747,-3.7111259,1.786129,9.198804,0.054442752,0.10651352,-0.033650123,17.1,51.96,-1.9799999,0.0,0.0,0.0
1572420963846,-3.7829542,1.4413534,8.526012,-0.23144218,-0.12256095,-0.018378492,16.44,51.66,-2.28,0.0,0.0,0.0
1572420963948,-3.397476,1.3431882,9.42626,0.021456031,0.15110667,0.123342246,15.66,52.44,-3.06,0.0,0.0,0.0
1572420964048,-3.1867797,1.3048798,9.29218,-0.17279913,-0.038261544,0.24979135,15.839999,51.78,-2.76,0.0,0.0,0.0
1572420964149,-3.0646718,1.6137413,8.81572,0.08865121,0.10223746,0.28949758,16.92,51.78,-1.92,0.0,0.0,0.0
1572420964249,-3.1700199,1.924997,8.818114,0.09781419,-0.10912191,0.1716006,17.76,50.52,-2.7,0.0,0.0,0.0
1572420964350,-3.3136764,1.7478206,9.050359,0.07154698,0.021603249,0.03293419,17.82,50.52,-2.9399998,0.0,0.0,0.0
1572420964452,-3.1508656,2.004008,8.703189,0.07704477,0.18653686,0.18809396,18.6,49.98,-2.28,0.0,0.0,0.0
1572420964551,-3.5147953,2.6025767,8.741497,0.09720332,0.2873296,0.07264043,18.539999,48.899998,-2.58,0.0,0.0,0.0
1572420964653,-3.4166303,2.9305923,9.012051,0.03550593,0.26289502,-0.14360586,19.68,47.52,-1.26,0.0,0.0,0.0
1572420964754,-4.4916596,2.0087965,7.4030976,0.11491841,-0.21235813,-0.38917372,19.859999,48.18,-0.96,0.0,0.0,0.0
1572420964856,-3.5387383,1.9202085,9.160496,-0.30780032,-0.2184668,-0.2413443,19.5,49.379997,-1.86,0.0,0.0,0.0
1572420964956,-4.410254,1.7502149,8.509253,-0.14103411,0.2964926,0.14411166,19.14,50.7,-1.1999999,0.0,0.0,0.0
1572420965059,-3.938582,1.8364087,9.608225,-0.17585345,0.2861079,0.43244007,19.619999,49.739998,-0.53999996,0.0,0.0,0.0
1572420965160,-4.024776,1.9106313,10.822123,0.019012569,-0.49518874,-0.24745296,20.039999,49.92,-0.06,0.0,0.0,0.0
1572420965272,-3.3687446,2.0279508,8.8636055,0.35559934,-0.017492127,-0.02387628,18.24,49.68,-1.5,0.0,0.0,0.0
1572420965351,-3.7877429,2.221887,8.334471,0.19310915,-0.20380603,0.06653178,18.359999,49.26,-2.1599998,0.0,0.0,0.0
1572420965461,-3.5962007,2.3535721,8.41827,0.17905927,-0.40416983,0.029879862,17.94,48.96,-2.04,0.0,0.0,0.0
1572420965564,-3.093403,2.1883671,9.500483,0.26091522,0.09063102,-0.006161187,17.1,48.239998,-4.02,0.0,0.0,0.0
1572420965664,-3.1029801,3.0455174,8.703189,0.37453613,-0.030931162,0.011553906,16.44,48.059998,-4.5,0.0,0.0,0.0
1572420965765,-3.4884584,2.8827069,8.358414,0.13996388,0.42416346,0.012775635,16.199999,46.98,-3.78,0.0,0.0,0.0
1572420965867,-3.3328304,3.205934,9.177256,-0.014585018,-0.07002653,-0.07335636,17.88,47.219997,-2.8799999,0.0,0.0,0.0
1572420965966,-3.6967604,2.8635526,8.46855,0.1784484,-1.0254198,0.10807062,17.16,47.76,-2.9399998,0.0,0.0,0.0
1572420966068,-2.8515813,3.2777622,8.530801,0.06360573,-0.07857865,0.03904284,16.08,46.68,-4.8599997,0.0,0.0,0.0
1572420966168,-2.796513,3.1652312,8.727132,-0.22838785,-0.20075169,0.025603805,16.02,46.32,-4.98,0.0,0.0,0.0
1572420966269,-2.8683412,3.093403,8.583475,-0.15874922,0.047870457,0.1770984,15.42,46.8,-5.4,0.0,0.0,0.0
1572420966368,-2.5379312,2.9832664,8.791777,-0.0359653,-0.021768183,0.075694755,15.9,46.68,-5.2799997,0.0,0.0,0.0
1572420966468,-2.5642684,2.9593236,9.064724,-0.09033231,0.07658112,-0.06419338,16.32,47.16,-5.2799997,0.0,0.0,0.0
1572420966569,-2.6600394,2.8994668,9.031204,-0.14347759,0.088798426,-0.042202238,16.56,47.94,-5.1,0.0,0.0,0.0
1572420966670,-2.6744049,2.7869358,8.56911,-0.13859066,-0.005274821,-0.046478294,15.54,47.399998,-4.98,0.0,0.0,0.0
1572420966773,-3.067066,2.5810282,8.839663,-0.250379,0.37957028,-0.19491854,16.38,48.12,-5.64,0.0,0.0,0.0
1572420966876,-3.632115,2.004008,9.526819,-0.08972144,0.040540073,-0.4404864,16.68,48.96,-3.9599998,0.0,0.0,0.0
1572420966976,-3.3400133,1.838803,8.739103,-0.086056255,0.16698918,-0.27372015,17.58,50.76,-2.9399998,0.0,0.0,0.0
1572420967075,-3.7063375,2.142876,8.530801,0.21632203,-0.20869295,-0.25478333,17.58,51.18,-2.58,0.0,0.0,0.0
1572420967178,-3.5171897,2.2985039,8.830086,0.015958244,-0.07918952,0.009110444,16.619999,52.14,-2.46,0.0,0.0,0.0
1572420967279,-3.4142358,2.1117504,8.7822,0.31344962,-0.33514205,0.034155916,16.74,51.059998,-3.48,0.0,0.0,0.0
1572420967380,-2.8970726,2.3679378,8.595447,0.28412807,-0.22152112,0.14227907,14.82,50.34,-4.5,0.0,0.0,0.0
1572420967479,-2.9066496,2.597788,8.978531,0.058107946,-0.006496552,0.14716598,14.88,49.62,-4.5,0.0,0.0,0.0
1572420967581,-2.9593236,2.6504622,9.167678,-0.023137134,-0.028487701,0.05431447,15.66,49.559998,-4.68,0.0,0.0,0.0
1572420967683,-2.9329867,2.5810282,8.93304,-0.07078462,0.023435844,0.019495154,15.48,49.2,-4.62,0.0,0.0,0.0
1572420967784,-3.0455174,2.4972286,9.002473,-0.10743654,0.09429621,0.00972131,15.839999,49.68,-5.4,0.0,0.0,0.0
1572420967884,-3.0550947,2.4613144,8.942616,0.019623436,0.023435844,0.015829962,15.96,49.8,-5.04,0.0,0.0,0.0
1572420967986,-3.110163,2.5139885,8.937828,-0.11049086,0.05214651,0.005445253,15.78,49.68,-4.08,0.0,0.0,0.0
1572420968085,-3.1604428,2.4182177,9.007262,-0.119653836,0.08207891,-0.0067720525,16.26,50.28,-4.62,0.0,0.0,0.0
1572420968187,-2.9234095,2.011191,9.474146,-0.15264057,0.28549704,-0.18880989,16.02,51.12,-4.14,0.0,0.0,0.0
1572420968290,-3.2370596,1.6664152,8.825297,-0.02985665,-0.14516297,0.03537765,17.279999,52.02,-2.8799999,0.0,0.0,0.0
1572420968387,-3.4908526,1.8196489,8.707977,-0.120875575,0.44920892,0.07019697,16.619999,51.66,-2.9399998,0.0,0.0,0.0
1572420968493,-4.192375,1.8483802,8.913885,0.13385524,1.1174955,-0.07579983,18.66,51.84,-2.34,0.0,0.0,0.0
1572420968590,-4.35758,2.030345,8.396722,-0.41409087,0.2525103,-0.1570449,20.22,51.42,-0.53999996,0.0,0.0,0.0
1572420968691,-4.278569,1.9130256,8.329682,0.10025764,-0.057198368,-0.0043285913,19.5,53.16,0.35999998,0.0,0.0,0.0
1572420968792,-4.4054656,1.9034485,8.332076,-0.0048111747,0.022214115,0.0011691961,18.9,51.96,-0.24,0.0,0.0,0.0
1572420968893,-4.393494,2.0758362,8.269825,0.023899492,-0.13905431,-0.003717726,19.56,52.62,0.78,0.0,0.0,0.0
1572420968994,-4.328849,1.9393626,8.746285,0.14973773,-0.23801447,0.024992941,20.34,52.92,-0.48,0.0,0.0,0.0
1572420969095,-4.2570205,2.0494993,8.626573,0.012903918,-0.076135196,0.010332175,19.14,52.14,-0.96,0.0,0.0,0.0
1572420969197,-3.8475995,1.2833313,8.91149,0.16989629,-0.39745033,0.07997081,18.66,52.379997,-0.9,0.0,0.0,0.0
1572420969302,-4.120547,1.9704882,8.846846,-0.034743574,0.11262217,0.017662557,17.94,51.36,-1.0799999,0.0,0.0,0.0
1572420969393,-3.9266107,2.1452703,8.494887,-0.109269135,0.040540073,-0.006161187,17.88,50.399998,-1.5,0.0,0.0,0.0
1572420969498,-3.849994,2.0902019,8.705584,-0.029245785,0.037485745,0.0011691961,18.9,51.239998,-1.86,0.0,0.0,0.0
1572420969600,-4.04393,2.0231621,8.741497,0.051388428,0.005720753,-0.017767625,18.539999,51.18,-2.1599998,0.0,0.0,0.0
