Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (G),Accelerometer Y (G),Accelerometer Z (G),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
100,-0.1,0.15,-0.09,-0.14,0.03,1.02,,,
101,-0.12,0.32,-0.03,-0.14,0.04,1.02,,,
102,-0.25,0.14,0.23,-0.13,0.03,1.02,,,
103,-0.04,-0.29,0.26,-0.14,0.03,1.02,,,
104,0.11,-0.21,0,-0.14,0.03,1.02,,,
105,-0.02,0.4,0.12,-0.14,0.03,1.03,,,
106,-0.27,0.06,-0.06,-0.14,0.03,1.02,,,
107,-0.15,0.21,-0.12,-0.14,0.04,1.02,,,
108,-0.13,0.38,0.08,-0.14,0.03,1.02,,,
109,0.19,-0.08,0.02,-0.14,0.03,1.02,,,
110,0.29,0.28,0.07,-0.14,0.03,1.02,,,
111,-0.04,0.36,-0.06,-0.13,0.03,1.02,,,
112,0.1,0.21,-0.07,-0.14,0.03,1.02,,,
113,0.15,-0.07,-0.06,-0.14,0.03,1.02,,,
114,0.03,-0.25,0.13,-0.13,0.03,1.02,,,
115,0.03,-0.25,-0.03,-0.14,0.03,1.02,,,
116,0.03,0.07,0.09,-0.14,0.04,1.02,,,
117,0.03,0.35,0.15,-0.14,0.03,1.02,,,
118,0.14,0.12,0.14,-0.14,0.04,1.02,,,
119,0.11,0.03,0.13,-0.14,0.04,1.03,,,
120,0.04,0.04,0.12,-0.13,0.04,1.02,,,
121,0.11,-0.3,0.13,-0.13,0.03,1.02,,,
122,0.16,-0.03,-0.15,-0.14,0.03,1.02,,,
123,-0.1,0.23,0.06,-0.14,0.03,1.02,,,
124,-0.22,-0.29,0.29,-0.13,0.04,1.02,,,
125,0.07,0.04,-0.11,-0.14,0.04,1.02,,,
126,0.19,0.27,-0.28,-0.14,0.04,1.02,,,
127,-0.19,0.19,0.22,-0.14,0.03,1.02,,,
128,-0.07,0.4,-0.06,-0.13,0.03,1.02,,,
129,0.03,0.19,-0.03,-0.14,0.03,1.02,,,
130,0.27,-0.11,0.24,-0.14,0.04,1.02,,,
131,-0.13,0.24,0.13,-0.14,0.03,1.02,,,
132,-0.31,0.32,-0.12,-0.14,0.04,1.02,,,
133,0.07,0.45,0.1,-0.14,0.03,1.02,,,
134,-0.09,0.23,0.26,-0.14,0.04,1.02,,,
135,-0.04,0.06,0.13,-0.14,0.03,1.01,,,
136,0.23,-0.32,-0.15,-0.14,0.04,1.02,,,
137,0.04,-0.4,-0.09,-0.14,0.03,1.03,,,
138,0.17,-0.07,-0.09,-0.13,0.04,1.02,,,
139,0.09,-0.03,0.13,-0.14,0.04,1.02,,,
140,-0.08,0.22,0.14,-0.13,0.03,1.02,,,
141,-0.07,-0.1,0.04,-0.14,0.04,1.02,,,
142,-0.05,-0.04,-0.11,-0.14,0.03,1.02,,,
143,-0.21,0,0.19,-0.13,0.04,1.02,,,
144,0.08,0.35,-0.09,-0.14,0.03,1.02,,,
145,-0.02,-0.16,-0.21,-0.14,0.03,1.02,,,
146,-0.17,0.64,0.01,-0.13,0.04,1.02,,,
147,-0.02,0.77,0.06,-0.13,0.04,1.02,,,
148,0.03,0.41,0,-0.14,0.04,1.02,,,
149,0.04,0.05,-0.06,-0.14,0.04,1.02,,,
150,0.1,-0.05,0.28,-0.14,0.04,1.02,,,
151,0.07,-0.36,0.01,-0.14,0.03,1.03,,,
152,-0.1,-0.03,0.04,-0.14,0.03,1.02,,,
153,0.18,-0.17,0.08,-0.14,0.03,1.02,,,
154,-0.01,0.12,-0.09,-0.14,0.04,1.02,,,
155,-0.37,0.29,0.13,-0.13,0.04,1.02,,,
156,-0.47,0.33,0.17,-0.14,0.03,1.02,,,
157,0.11,-0.04,-0.28,-0.14,0.03,1.02,,,
158,0.14,0.1,-0.06,-0.13,0.03,1.02,,,
159,0.03,-0.47,0.03,-0.14,0.03,1.02,,,
160,0.2,-0.15,0.2,-0.14,0.03,1.02,,,
161,-0.01,-0.32,-0.03,-0.14,0.04,1.01,,,
162,0.17,-0.63,0.03,-0.14,0.03,1.02,,,
163,-0.02,-0.18,0.17,-0.13,0.03,1.03,,,
164,0.27,-0.1,-0.01,-0.13,0.04,1.02,,,
165,0.32,0.22,-0.08,-0.13,0.03,1.02,,,
166,-0.25,0.43,-0.18,-0.13,0.03,1.02,,,
167,-0.25,0.98,0.29,-0.14,0.03,1.01,,,
168,-0.28,0.61,0.03,-0.14,0.03,1.02,,,
169,-0.03,0.14,0.07,-0.14,0.03,1.03,,,
170,-0.05,0.1,0.17,-0.13,0.03,1.02,,,
171,0.21,0.12,0.04,-0.13,0.03,1.02,,,
172,-0.02,0.45,-0.24,-0.14,0.03,1.02,,,
173,-0.21,0,-0.11,-0.14,0.04,1.02,,,
174,0.12,-0.07,-0.28,-0.14,0.03,1.02,,,
175,-0.15,0.06,0.29,-0.14,0.03,1.02,,,
176,0.29,-0.2,-0.02,-0.13,0.03,1.02,,,
177,0.09,-0.16,0.07,-0.14,0.03,1.02,,,
178,-0.12,0,-0.2,-0.14,0.04,1.02,,,
179,0.01,-0.01,0.06,-0.13,0.03,1.03,,,
180,-0.06,0,0.01,-0.13,0.03,1.02,,,
181,-0.02,0.01,-0.08,-0.14,0.03,1.02,,,
182,0.12,0.18,0.15,-0.14,0.03,1.02,,,
183,-0.09,-0.33,0.03,-0.14,0.04,1.02,,,
184,0.11,0.23,-0.03,-0.13,0.03,1.02,,,
185,0.01,0.34,0.08,-0.13,0.04,1.02,,,
186,0.04,0.45,0.08,-0.14,0.03,1.03,,,
187,-0.05,0.38,-0.06,-0.14,0.04,1.02,,,
188,-0.14,-0.11,-0.08,-0.13,0.03,1.02,,,
189,-0.19,0,0.15,-0.13,0.03,1.02,,,
190,-0.11,0.03,0.08,-0.14,0.04,1.02,,,
191,-0.09,0.09,-0.03,-0.14,0.03,1.02,,,
192,-0.16,0.03,0.07,-0.13,0.04,1.02,,,
193,0.02,-0.07,-0.01,-0.13,0.04,1.02,,,
194,0.11,-0.11,0.2,-0.13,0.04,1.02,,,
195,0.3,-0.36,-0.02,-0.14,0.03,1.02,,,
196,0.17,-0.24,0.18,-0.13,0.04,1.02,,,
197,0.3,-0.04,0.1,-0.13,0.03,1.02,,,
198,-0.26,-0.11,0.04,-0.14,0.03,1.02,,,
199,-0.31,-0.03,0.17,-0.13,0.03,1.01,,,
200,0.07,0.22,0.2,-0.14,0.03,1.02,,,
201,0,0.22,0.14,-0.14,0.03,1.02,,,
202,0.22,0.41,-0.12,-0.13,0.04,1.02,,,
203,0.17,0.62,-0.16,-0.13,0.03,1.02,,,
204,-0.03,0.64,-0.15,-0.14,0.03,1.02,,,
